Time (s),Speed (m/s)
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,0
1.16,0
1.18,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,0
1.76,0
1.78,0
1.8,0
1.82,0
1.84,0
1.86,0
1.88,0
1.9,0
1.92,0
1.94,0
1.96,0
1.98,0
2,0
2.02,0.0179
2.04,0.0358
2.06,0.0536
2.08,0.0715
2.1,0.0894
2.12,0.1073
2.14,0.1252
2.16,0.1431
2.18,0.1609
2.2,0.1788
2.22,0.1967
2.24,0.2146
2.26,0.2325
2.28,0.2503
2.3,0.2682
2.32,0.2861
2.34,0.304
2.36,0.3219
2.38,0.3398
2.4,0.3576
2.42,0.3755
2.44,0.3934
2.46,0.4113
2.48,0.4292
2.5,0.447
2.52,0.4649
2.54,0.4828
2.56,0.5007
2.58,0.5186
2.6,0.5364
2.62,0.5543
2.64,0.5722
2.66,0.5901
2.68,0.608
2.7,0.6259
2.72,0.6437
2.74,0.6616
2.76,0.6795
2.78,0.6974
2.8,0.7153
2.82,0.7331
2.84,0.751
2.86,0.7689
2.88,0.7868
2.9,0.8047
2.92,0.8226
2.94,0.8404
2.96,0.8583
2.98,0.8762
3,0.8941
3.02,0.92
3.04,0.9459
3.06,0.9719
3.08,0.9978
3.1,1.0237
3.12,1.0496
3.14,1.0756
3.16,1.1015
3.18,1.1274
3.2,1.1534
3.22,1.1793
3.24,1.2052
3.26,1.2311
3.28,1.2571
3.3,1.283
3.32,1.3089
3.34,1.3349
3.36,1.3608
3.38,1.3867
3.4,1.4126
3.42,1.4386
3.44,1.4645
3.46,1.4904
3.48,1.5164
3.5,1.5423
3.52,1.5682
3.54,1.5941
3.56,1.6201
3.58,1.646
3.6,1.6719
3.62,1.6979
3.64,1.7238
3.66,1.7497
3.68,1.7756
3.7,1.8016
3.72,1.8275
3.74,1.8534
3.76,1.8794
3.78,1.9053
3.8,1.9312
3.82,1.9571
3.84,1.9831
3.86,2.009
3.88,2.0349
3.9,2.0609
3.92,2.0868
3.94,2.1127
3.96,2.1386
3.98,2.1646
4,2.1905
4.02,2.2191
4.04,2.2477
4.06,2.2763
4.08,2.3049
4.1,2.3335
4.12,2.3622
4.14,2.3908
4.16,2.4194
4.18,2.448
4.2,2.4766
4.22,2.5052
4.24,2.5338
4.26,2.5624
4.28,2.591
4.3,2.6197
4.32,2.6483
4.34,2.6769
4.36,2.7055
4.38,2.7341
4.4,2.7627
4.42,2.7913
4.44,2.8199
4.46,2.8485
4.48,2.8771
4.5,2.9058
4.52,2.9344
4.54,2.963
4.56,2.9916
4.58,3.0202
4.6,3.0488
4.62,3.0774
4.64,3.106
4.66,3.1346
4.68,3.1633
4.7,3.1919
4.72,3.2205
4.74,3.2491
4.76,3.2777
4.78,3.3063
4.8,3.3349
4.82,3.3635
4.84,3.3921
4.86,3.4208
4.88,3.4494
4.9,3.478
4.92,3.5066
4.94,3.5352
4.96,3.5638
4.98,3.5924
5,3.621
5.02,3.6496
5.04,3.6782
5.06,3.7069
5.08,3.7355
5.1,3.7641
5.12,3.7927
5.14,3.8213
5.16,3.8499
5.18,3.8785
5.2,3.9071
5.22,3.9357
